City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Chapais,CA,38.98,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
1,Yulara,AU,84.04,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
2,East London,ZA,66.9,light rain,-33.0153,27.9116,Tu Casa
3,Mar Del Plata,AR,62.87,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
4,Shakawe,BW,71.87,broken clouds,-18.3667,21.85,Ditlhapi Guest House
5,Aklavik,CA,27.43,light snow,68.2191,-135.0107,Aklavik Inn
6,Xam Nua,LA,57.67,overcast clouds,20.4197,104.0439,Xee Wang Guesthouse
7,Hermanus,ZA,66.9,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
8,Nanakuli,US,86.04,few clouds,21.3906,-158.1547,Camp Pālehua
9,Port-Gentil,GA,76.96,overcast clouds,-0.7193,8.7815,Fengshui Residence
10,Peace River,CA,53.91,few clouds,56.2501,-117.286,BCMInns - Peace River
11,Chengde,CN,42.28,clear sky,40.9725,117.9361,Super 8 Hotel
12,Kavieng,PG,84.18,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
13,Geraldton,AU,63.01,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
14,Hays,US,81.01,overcast clouds,30.0502,-98.0336,Sinya on Lone Man Creek
15,Port Alfred,ZA,66.6,overcast clouds,-33.5906,26.891,The Halyards Hotel
16,Airai,TL,69.58,broken clouds,-8.9266,125.4092,Juvinal Martin
17,Ushuaia,AR,42.46,light rain,-54.8,-68.3,Albatros Hotel
18,Kapaa,US,84.18,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
19,Bluff,NZ,56.08,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
20,Manzhouli,CN,32.07,clear sky,49.6,117.4333,Angala International Youth Hostel
21,Havoysund,NO,32.88,overcast clouds,70.9963,24.6622,Arctic View Glamping & Restaurant
22,Canaries,ES,64.36,scattered clouds,28.0,-15.5,Villa del Monte
23,Atar,MR,84.15,broken clouds,20.5169,-13.0499,Oumou Elghoura
