City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,Chapais,49.7834,-74.8492,38.98,70,100,6.38,CA,2021-10-26 23:27:31,overcast clouds
1,Yulara,-25.2406,130.9889,84.04,37,34,13.8,AU,2021-10-26 23:27:32,scattered clouds
2,East London,-33.0153,27.9116,66.9,85,94,20.42,ZA,2021-10-26 23:27:32,light rain
3,Mar Del Plata,-38.0023,-57.5575,62.87,69,0,4.0,AR,2021-10-26 23:27:33,clear sky
4,Shakawe,-18.3667,21.85,71.87,69,72,5.19,BW,2021-10-26 23:27:33,broken clouds
5,Aklavik,68.2191,-135.0107,27.43,86,90,0.0,CA,2021-10-26 23:27:34,light snow
6,Xam Nua,20.4197,104.0439,57.67,99,95,1.97,LA,2021-10-26 23:27:34,overcast clouds
7,Hermanus,-34.4187,19.2345,66.9,82,100,16.64,ZA,2021-10-26 23:27:35,overcast clouds
8,Nanakuli,21.3906,-158.1547,86.04,51,20,12.66,US,2021-10-26 23:27:35,few clouds
9,Port-Gentil,-0.7193,8.7815,76.96,94,90,9.22,GA,2021-10-26 23:27:35,overcast clouds
10,Peace River,56.2501,-117.286,53.91,62,20,6.91,CA,2021-10-26 23:26:24,few clouds
11,Chengde,40.9725,117.9361,42.28,55,0,4.25,CN,2021-10-26 23:27:36,clear sky
12,Kavieng,-2.5744,150.7967,84.18,68,87,5.88,PG,2021-10-26 23:27:37,overcast clouds
13,Geraldton,-28.7667,114.6,63.01,67,40,19.57,AU,2021-10-26 23:27:38,scattered clouds
14,Hays,30.0502,-98.0336,81.01,80,97,11.01,US,2021-10-26 23:27:38,overcast clouds
15,Port Alfred,-33.5906,26.891,66.6,84,92,26.89,ZA,2021-10-26 23:27:39,overcast clouds
16,Airai,-8.9266,125.4092,69.58,57,82,1.79,TL,2021-10-26 23:27:39,broken clouds
17,Ushuaia,-54.8,-68.3,42.46,65,20,20.71,AR,2021-10-26 23:27:08,light rain
18,Kapaa,22.0752,-159.319,84.18,70,1,3.0,US,2021-10-26 23:27:04,clear sky
19,Bluff,-46.6,168.3333,56.08,81,79,2.71,NZ,2021-10-26 23:24:00,broken clouds
20,Manzhouli,49.6,117.4333,32.07,79,0,7.9,CN,2021-10-26 23:27:40,clear sky
21,Havoysund,70.9963,24.6622,32.88,62,93,27.72,NO,2021-10-26 23:27:41,overcast clouds
22,Canaries,28.0,-15.5,64.36,71,40,5.01,ES,2021-10-26 23:27:41,scattered clouds
23,Atar,20.5169,-13.0499,84.15,31,63,10.78,MR,2021-10-26 23:27:42,broken clouds
24,Rikitea,-23.1203,-134.9692,73.74,86,100,16.17,PF,2021-10-26 23:26:34,moderate rain
25,Abancay,-13.6339,-72.8814,65.71,58,67,6.82,PE,2021-10-26 23:27:42,broken clouds
26,Leningradskiy,69.3833,178.4167,9.03,94,100,22.64,RU,2021-10-26 23:27:43,light snow
27,Igrim,63.1906,64.4162,25.07,60,65,10.78,RU,2021-10-26 23:27:43,broken clouds
28,Karratha,-20.7377,116.8463,73.36,28,0,9.28,AU,2021-10-26 23:27:44,clear sky
29,Lavrentiya,65.5833,-171.0,13.89,74,53,6.29,RU,2021-10-26 23:27:44,broken clouds
30,Faanui,-16.4833,-151.75,78.48,77,83,6.17,PF,2021-10-26 23:25:43,light rain
31,Anadyr,64.75,177.4833,1.9,85,75,8.95,RU,2021-10-26 23:27:45,broken clouds
32,New Norfolk,-42.7826,147.0587,61.92,57,6,1.99,AU,2021-10-26 23:26:09,clear sky
33,Albany,42.6001,-73.9662,54.81,94,100,1.01,US,2021-10-26 23:27:45,moderate rain
34,Vaini,-21.2,-175.2,77.16,83,40,14.97,TO,2021-10-26 23:27:46,scattered clouds
35,Livani,56.3543,26.1758,43.43,92,100,8.59,LV,2021-10-26 23:27:46,overcast clouds
36,Porto Novo,6.4965,2.6036,76.82,83,84,5.12,BJ,2021-10-26 23:26:30,broken clouds
