City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kapaa,US,2021-10-26 22:59:17,22.0752,-159.319,82.18,79,33,1.99
1,Punta Arenas,CL,2021-10-26 22:59:18,-53.15,-70.9167,48.31,53,0,24.16
2,Bohicon,BJ,2021-10-26 22:59:18,7.1783,2.0667,74.32,95,99,5.44
3,Broome,US,2021-10-26 22:59:19,42.2506,-75.833,54.46,81,90,1.01
4,Cascavel,BR,2021-10-26 22:59:19,-24.9558,-53.4553,76.6,41,0,6.91
5,Tuatapere,NZ,2021-10-26 22:59:19,-46.1333,167.6833,59.14,83,85,0.87
6,Georgetown,MY,2021-10-26 22:59:20,5.4112,100.3354,78.73,92,40,1.99
7,Thompson,CA,2021-10-26 22:59:20,55.7435,-97.8558,35.76,100,90,4.61
8,Pevek,RU,2021-10-26 22:55:02,69.7008,170.3133,10.65,93,100,13.02
9,Arlit,NE,2021-10-26 22:59:21,18.7369,7.3853,85.46,12,0,5.3
10,Dunedin,NZ,2021-10-26 22:59:21,-45.8742,170.5036,57.31,83,91,5.64
11,Bluff,NZ,2021-10-26 22:59:22,-46.6,168.3333,56.08,81,79,2.71
12,Cape Town,ZA,2021-10-26 22:58:04,-33.9258,18.4232,68.41,59,0,3.0
13,Nishihara,JP,2021-10-26 22:59:23,26.1842,127.7558,72.68,68,20,8.05
14,Faya,SA,2021-10-26 22:59:23,18.3851,42.4509,59.11,59,8,1.95
15,Manoel Urbano,BR,2021-10-26 22:59:24,-8.8389,-69.2597,75.16,82,92,3.69
16,Mataura,NZ,2021-10-26 22:59:24,-46.1927,168.8643,64.4,62,84,2.21
17,Longyearbyen,SJ,2021-10-26 22:59:24,78.2186,15.6401,15.64,79,40,8.05
18,Lagoa,PT,2021-10-26 22:55:17,39.05,-27.9833,69.46,88,100,28.32
19,Palmer,US,2021-10-26 22:59:25,42.1584,-72.3287,58.03,76,100,5.01
20,Najran,SA,2021-10-26 22:55:06,17.4924,44.1277,65.05,16,1,2.08
21,College,US,2021-10-26 22:59:27,64.8569,-147.8028,31.28,92,98,0.83
22,Tezu,IN,2021-10-26 22:59:27,27.9167,96.1667,65.68,55,0,4.18
23,Puerto Ayora,EC,2021-10-26 22:59:22,-0.7393,-90.3518,69.55,90,93,1.99
24,New Norfolk,AU,2021-10-26 22:59:28,-42.7826,147.0587,59.67,55,6,2.77
25,Motegi,JP,2021-10-26 22:59:28,36.5167,140.1833,61.07,80,95,1.34
26,Cherskiy,RU,2021-10-26 22:59:29,68.75,161.3,-17.77,100,96,4.36
27,Tiksi,RU,2021-10-26 22:59:30,71.6872,128.8694,13.93,95,100,1.25
28,Ushuaia,AR,2021-10-26 22:59:24,-54.8,-68.3,42.46,75,75,21.85
