City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Dengzhou,CN,2021-10-19 18:12:19,37.8086,120.7508,49.96,53,94,9.19
1,Rochester,US,2021-10-19 18:10:41,43.1548,-77.6156,68.18,38,20,1.99
2,Thompson,CA,2021-10-19 18:12:21,55.7435,-97.8558,38.8,60,54,11.56
3,Katsuura,JP,2021-10-19 18:09:14,35.1333,140.3,62.62,77,98,12.24
4,Rikitea,PF,2021-10-19 18:10:55,-23.1203,-134.9692,74.82,72,5,21.5
5,Ushuaia,AR,2021-10-19 18:12:22,-54.8,-68.3,58.66,47,40,21.85
6,Codrington,AU,2021-10-19 18:12:23,-38.2667,141.9667,44.26,97,55,10.94
7,Chuy,UY,2021-10-19 18:10:51,-33.6971,-53.4616,65.59,58,12,11.81
8,Dikson,RU,2021-10-19 18:12:24,73.5069,80.5464,27.37,57,100,12.21
9,Longyearbyen,SJ,2021-10-19 18:12:24,78.2186,15.6401,13.84,73,20,14.97
10,Leshukonskoye,RU,2021-10-19 18:12:25,64.8989,45.7622,33.13,86,71,10.67
11,Puerto Ayora,EC,2021-10-19 18:12:25,-0.7393,-90.3518,80.56,79,67,9.73
12,Havoysund,NO,2021-10-19 18:12:26,70.9963,24.6622,26.83,78,100,6.55
13,Novikovo,RU,2021-10-19 18:12:26,51.1537,37.8879,39.81,67,98,11.83
14,Sola,VU,2021-10-19 18:12:27,-13.8833,167.55,79.79,81,100,14.92
15,Usogorsk,RU,2021-10-19 18:12:28,63.4106,48.6872,35.85,83,100,7.96
16,Hasaki,JP,2021-10-19 18:12:06,35.7333,140.8333,54.28,79,100,7.85
17,Hirara,JP,2021-10-19 18:12:29,24.8,125.2833,77.43,68,96,18.57
18,Atuona,PF,2021-10-19 18:11:06,-9.8,-139.0333,78.39,75,26,21.0
19,Kaitangata,NZ,2021-10-19 18:12:29,-46.2817,169.8464,42.93,76,21,7.94
20,Vaini,TO,2021-10-19 18:10:58,-21.2,-175.2,71.76,88,40,8.05
21,Kamennogorsk,RU,2021-10-19 18:12:30,60.9545,29.1339,30.52,78,50,1.9
22,Santa Rosa,PH,2021-10-19 18:12:30,14.3122,121.1114,82.09,76,2,8.05
23,Epe,NG,2021-10-19 18:12:31,6.5841,3.9834,78.35,85,79,5.99
24,Hithadhoo,MV,2021-10-19 18:12:31,-0.6,73.0833,82.6,75,75,11.25
25,Svetlyy,RU,2021-10-19 18:12:32,54.675,20.1347,48.25,82,98,13.29
26,Ribeira Grande,PT,2021-10-19 18:11:50,38.5167,-28.7,72.0,68,40,11.5
27,New Norfolk,AU,2021-10-19 18:10:59,-42.7826,147.0587,39.9,71,31,2.08
28,Lata,PT,2021-10-19 18:11:32,40.1629,-8.3327,74.91,75,11,2.26
29,Avallon,FR,2021-10-19 18:12:33,47.4833,3.9,58.17,62,84,7.0
30,Butaritari,KI,2021-10-19 18:11:36,3.0707,172.7902,82.06,68,29,9.17
31,Busselton,AU,2021-10-19 18:10:58,-33.65,115.3333,54.09,74,100,23.47
32,Galle,LK,2021-10-19 18:09:13,6.0367,80.217,79.84,81,59,9.35
